Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
166,0.461111,-3.977609,23.12051,4.640085,-263.736816,1450.831177,109.187561,-0.756198,-5.784755,-2.579826,-252.181686,1349.147583,100.134499
167,0.463889,-3.977609,23.12051,4.640085,-263.736816,1450.831177,109.187561,-0.756198,-5.784755,-2.579826,-252.181686,1349.147583,100.134499
168,0.466667,-3.908414,23.241671,4.733374,-263.774841,1450.85498,109.162811,-0.784869,-5.801731,-2.590805,-252.176071,1349.159424,100.1175
169,0.469444,148.962692,-14.587612,173.101837,-264.60733,1449.302979,110.169411,-0.717421,-5.81603,-2.512372,-252.174316,1349.160156,100.131508
170,0.472222,-3.963662,23.148136,4.685733,-263.739838,1450.838013,109.192261,-0.731595,-5.790385,-2.57192,-252.171188,1349.170288,100.145851
171,0.475,-3.963662,23.148136,4.685733,-263.739838,1450.838013,109.192261,-0.731595,-5.790385,-2.57192,-252.171188,1349.170288,100.145851
172,0.477778,-3.963662,23.148136,4.685733,-263.739838,1450.838013,109.192261,-0.731595,-5.790385,-2.57192,-252.171188,1349.170288,100.145851
173,0.480556,-3.880859,23.271406,4.702084,-263.772583,1450.855103,109.15184,0.093746,-5.945581,-3.461797,-252.083206,1349.453857,100.248222
174,0.483333,148.967651,-14.551995,172.993637,-264.612061,1449.337158,110.171097,-0.604,-5.905065,-2.460634,-252.185287,1349.16626,100.135742
175,0.486111,148.896835,-14.533992,172.95488,-264.615997,1449.336914,110.164009,-0.772232,-5.796651,-2.514986,-252.166565,1349.192017,100.137527
176,0.488889,148.894089,-14.509465,172.972137,-264.617096,1449.338379,110.179932,-0.781536,-5.80926,-2.519708,-252.162659,1349.193604,100.136856
177,0.491667,148.867462,-14.427537,172.975082,-264.609802,1449.338623,110.244858,-0.62717,-5.913473,-2.47482,-252.191849,1349.1698,100.14637
178,0.494444,148.867462,-14.427537,172.975082,-264.609802,1449.338623,110.244858,-0.62717,-5.913473,-2.47482,-252.191849,1349.1698,100.14637
179,0.497222,148.892334,-14.484331,172.962418,-264.617035,1449.332153,110.173172,-0.656799,-5.945197,-2.448422,-252.185608,1349.161377,100.157684
180,0.5,148.926865,-14.480295,172.95253,-264.61676,1449.326416,110.177368,-0.687828,-5.919375,-2.414819,-252.193665,1349.158936,100.144234
181,0.502778,148.90242,-14.487119,172.981766,-264.622375,1449.316528,110.177383,-0.706326,-5.936342,-2.473562,-252.187943,1349.147339,100.148659
